id,scene,emotion,zh,en,note
73,quest-complete,steady,东西在这。人没少。货没损。,Goods here. Me in one piece. Goods in one piece.,
74,quest-complete,dry,下次找别人。这次算我欠你的——不，你欠我的。,"Next time, find someone else. This one's me owing you—no, you owe me.",
75,quest-complete,tired,完事了。别再追加。,Wraps up. No add-ons.,
76,companion,flat,你 flank 左，我正面。别抢戏。,"You take left flank, I take the front. Don't steal the show.",
77,companion,wry,你那刀该磨了。钝刀不如棍子。,That blade needs grinding. A dull edge is just a stick.,
78,companion,steady,我断后。你先走。,I'll hold the rear. You go first.,
79,companion,dry,别废话，盯紧你的方向。,Less talk. Watch your lane.,
80,companion,amused,你这一嗓门，比号角还管用。,That yell of yours beats any war horn.,
81,companion,guarded,信你这一回。下回别掉链子。,Trusting you this once. Don't drop it next time.,
82,companion,bitter,你又是这套。先承诺，后变卦。,"Same old with you. Promise first, pivot after.",
83,companion,flat,分赃的时候再吵。先打完。,Argue about the split later. Fight first.,
84,companion,wry,你这毛病，比敌人还难对付。,Your habits are harder to handle than the enemy.,
85,companion,steady,走我后面。别抢前。,Walk behind me. Don't jump ahead.,
86,camp,tired,歇会儿。伤口不等人。,Rest a bit. Wounds don't wait.,
87,camp,guarded,火别太大。这地方不缺眼睛。,Keep the fire low. No shortage of eyes out here.,
88,camp,wry,治疗的活儿你来。我只负责挨。,You do the patching. I do the getting hit.,
89,camp,flat,睡一会儿。轮值守夜。,Sleep in shifts. One keeps watch.,
90,camp,steady,伤好再走。急也急不来。,Move when it heals. Rushing won't help.,
91,loot,appraising,这箱子……锁着，但不算结实。,This chest's locked. Lock's not sturdy though.,
92,loot,wry,又是破铜烂铁。这地方穷得实在。,More scrap. This place is broke in earnest.,
93,loot,flat,有用的留下，没用的别占地方。,Keep what works. Don't haul dead weight.,
94,loot,musing,这物件……不像本地货。,This piece... not from around here.,
95,loot,dry,别贪。拿了就走。,Don't get greedy. Take and leave.,
96,elite,wary,这个不一样。脚步有章法。,This one's different. Footwork has form.,
97,elite,grave,不是杂兵。认真点。,Not a grunt. Take it seriously.,
98,elite,defiant,装备比我好？那正好，打完归我。,Better geared than me? Good. Comes mine after.,
99,elite,bitter,又一个练过的。这地方专出这种。,Another trained one. This place breeds them.,
100,elite,steady,别轻敌，但也别怕。按节奏来。,Don't underestimate. Don't fear. Work the rhythm.,
